House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Castor Lane,Lisa,Moore,20,Head,Single,Female,University Student,None,Catholic
2,Castor Lane,Leah,Cross,61,Head,Married,Female,Research scientist (physical sciences),None,Methodist
2,Castor Lane,Elliott,Cross,59,Husband,Married,Male,"Production assistant, television",None,Methodist
3,Castor Lane,Vanessa,Harris,19,Head,Married,Female,University Student,None,None
3,Castor Lane,Glen,Harris,19,Husband,Married,Male,University Student,None,None
4,Castor Lane,Katherine,Patel,55,Head,Single,Female,English as a foreign language teacher,None,Christian
4,Castor Lane,Victoria,Cook,63,None,Single,Female,Town planner,None,Christian
5,Castor Lane,Tina,Bird,40,Head,Divorced,Female,Unemployed,None,None
5,Castor Lane,Tony,Bird,6,Son,NA,Male,Student,None,NA
6,Castor Lane,Anna,Patel,20,Head,Single,Female,University Student,None,None
6,Castor Lane,Antony,Spencer,35,None,Single,Male,Unemployed,None,Muslim
6,Castor Lane,Victor,Wilson,36,None,Single,Male,Technical sales engineer,None,Catholic
6,Castor Lane,Conor,Robinson,35,None,Single,Male,Set designer,None,Methodist
6,Castor Lane,Kate,Clark,49,None,Single,Female,Landscape architect,None,Christian
6,Castor Lane,Tony,Ahmed,60,None,Single,Male,Unemployed,None,Christian
7,Castor Lane,Elaine,Phillips,39,Head,Single,Female,Building services engineer,None,None
7,Castor Lane,Alex,Sharp,43,Partner,Single,Male,Product designer,None,None
8,Castor Lane,Catherine,Young,68,Head,Married,Female,Retired Air cabin crew,None,Christian
8,Castor Lane,Patrick,Young,72,Husband,Married,Male,Retired Financial adviser,None,Christian
9,Castor Lane,Mark,Barrett,43,Head,Single,Male,Unemployed,None,Christian
9,Castor Lane,Stuart,Barrett,6,Son,NA,Male,Student,None,NA
1,Griffiths Coves,Gemma,Parker,42,Head,Single,Female,Unemployed,None,Methodist
1,Griffiths Coves,Martyn,Parker,4,Son,NA,Male,Child,None,NA
1,Griffiths Coves,Edward,Jackson,2,Son,NA,Male,Child,None,NA
1,Griffiths Coves,Sheila,Quinn,19,Lodger,Divorced,Female,University Student,None,Christian
1,Griffiths Coves,William,Morton,20,Visitor,Single,Male,University Student,None,None
2,Griffiths Coves,Georgina,Reid,84,Head,Married,Female,"Retired Programmer, multimedia",None,Christian
2,Griffiths Coves,Steven,Reid,88,Husband,Married,Male,Retired Mudlogger,None,Christian
3,Griffiths Coves,Elaine,Cooper,47,Head,Married,Female,Naval architect,None,Methodist
3,Griffiths Coves,Simon,Cooper,56,Husband,Married,Male,"Scientist, marine",None,Methodist
3,Griffiths Coves,Terence,Cooper,22,Son,Single,Male,University Student,None,None
4,Griffiths Coves,Jamie,Gibson,35,Head,Single,Male,Communications engineer,None,Sikh
5,Griffiths Coves,Dawn,Bell,43,Head,Single,Female,Unemployed,None,None
5,Griffiths Coves,Clifford,Bell,9,Son,NA,Male,Student,None,NA
5,Griffiths Coves,Georgia,Bell,6,Daughter,NA,Female,Student,None,NA
6,Griffiths Coves,Emma,Hill,39,Head,Married,Female,"Engineer, site",None,Christian
6,Griffiths Coves,Norman,Hill,38,Husband,Married,Male,"Research officer, political party",None,Christian
7,Griffiths Coves,Carolyn,Lewis,69,Head,Married,Female,Retired Hospital pharmacist,None,Christian
